Epoch,Train_Loss,Val_Loss,Accuracy,Balanced_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Macro_Specificity,AUC_OVR
1,1.0701947743634144,1.032080184060631,0.5602836879432624,0.37358024691358027,0.34945217024863046,0.37358024691358027,0.3397336101020585,0.7051549975375725,0.6166613535035524
2,1.0729719737926162,1.0304135194061497,0.5390070921985816,0.3671604938271605,0.3348780487804878,0.3671604938271605,0.3440601503759398,0.7009752692136347,0.6253554284116523
3,1.0407158437981663,1.0119474796538657,0.5531914893617021,0.3898765432098765,0.3569415081042988,0.3898765432098765,0.3723668964993257,0.7183908038357542,0.6469935237011776
4,1.0400619679186718,1.0368689729812297,0.41843971631205673,0.3520987654320988,0.39057239057239057,0.3520987654320988,0.24193548387096772,0.6833855791583328,0.6457052931524997
5,1.017130543668586,0.9964426121813186,0.5106382978723404,0.3718518518518519,0.3417874396135266,0.3718518518518519,0.3531746031746032,0.702716822651465,0.6517191727786042
6,1.0164401348096779,0.9918873656726053,0.5673758865248227,0.3832098765432099,0.35363881401617253,0.3832098765432099,0.3555776274132472,0.7150818522713678,0.6545084364089978
7,1.020318495580949,1.0832679685971416,0.41134751773049644,0.3476543209876543,0.38032581453634084,0.3476543209876543,0.23357601529111097,0.6795541615382156,0.6384244026291608
8,1.0199071194034024,0.9849360276621284,0.5815602836879432,0.38518518518518513,0.3716531564726111,0.38518518518518513,0.345692304241527,0.7154301629751884,0.6550140179303504
9,1.0053308024463883,1.0415961750855682,0.48936170212765956,0.37580246913580245,0.3537037037037037,0.37580246913580245,0.33888888888888885,0.7046325314412054,0.6391364564892142
10,1.029177819748959,0.9796890895417396,0.5673758865248227,0.3814814814814815,0.3582600195503421,0.3814814814814815,0.35188129305776367,0.7114245900031609,0.6399584307238233
11,1.012698361672551,0.9819240219204138,0.5460992907801419,0.36987654320987656,0.34179894179894177,0.36987654320987656,0.3444444444444445,0.7011494245655451,0.6523384817913911
12,0.9992151059300066,0.9904261523104728,0.5035460992907801,0.3622222222222222,0.33191919191919195,0.3622222222222222,0.34555555555555556,0.6940090553404054,0.6404985943068452
13,1.0056476406304233,0.9697088590750458,0.574468085106383,0.38592592592592595,0.3648648648648649,0.38592592592592595,0.3556067588325653,0.715256007623278,0.6453036588223259
14,1.018475089446608,0.9906446557518438,0.5815602836879432,0.38000000000000006,0.3821666666666667,0.38000000000000006,0.32904761904761903,0.7105538132842457,0.6442070471563478
15,0.9818191032811819,0.9861137562609733,0.475177304964539,0.394567901234568,0.4905809605982168,0.394567901234568,0.4085218702865762,0.6884927859842601,0.6331033522729148
16,0.9955200506262032,0.977025698262749,0.524822695035461,0.3850617283950617,0.44366508196295423,0.3850617283950617,0.38672445557808793,0.7006836602522527,0.6385994280024397
17,0.9967768131250359,0.9749157724651039,0.5460992907801419,0.45024691358024693,0.5482170542635658,0.45024691358024693,0.47399361082225533,0.715835175380811,0.6509515392122538
18,0.9971163937126297,0.9983714751317991,0.5531914893617021,0.47370370370370374,0.5715277777777777,0.47370370370370374,0.4936890823475674,0.7342956420737557,0.6546502237618695
19,1.0145082243953842,0.9695452679979041,0.574468085106383,0.40407407407407403,0.700978570543788,0.40407407407407403,0.39128926628926636,0.7103796579323355,0.6530347131656942
20,1.0105968832251537,0.9963794963579651,0.5531914893617021,0.3691358024691358,0.33963963963963967,0.3691358024691358,0.3361495135688684,0.702542667340191,0.6300323859942499
21,1.0309909833482949,0.977085143116349,0.574468085106383,0.38246913580246916,0.363768115942029,0.38246913580246916,0.3469298245614035,0.7128178327778069,0.6467698878355566
22,1.0170456950204918,0.9641354591288465,0.574468085106383,0.43086419753086425,0.5858585858585857,0.43086419753086425,0.4369442613345052,0.7165034459172329,0.6514185995510062
23,0.9895227594547961,0.9709721613437572,0.574468085106383,0.4144444444444444,0.6987179487179488,0.4144444444444444,0.41552786133791725,0.7189132698914849,0.6397364779098719
24,0.9850346187511122,0.9749826040673764,0.5673758865248227,0.39185185185185184,0.3634709697832621,0.39185185185185184,0.3716902051923803,0.7187391145395746,0.6316109084548897
25,0.9995934237916786,0.9742082196769984,0.5531914893617021,0.4132098765432099,0.5245310245310245,0.4132098765432099,0.4185535965006278,0.7208573295524445,0.6421794889103095
26,0.9857044539537775,0.9781552443267606,0.5460992907801419,0.44851851851851854,0.546590909090909,0.44851851851851854,0.47167087693973303,0.7146160879580754,0.645674989222169
27,1.0060673772570599,0.9730734165678633,0.5531914893617021,0.45296296296296296,0.5210877707213809,0.45296296296296296,0.4706233062330623,0.7196949438721475,0.6514499505134808
28,0.995733027357653,0.9642617558756619,0.5815602836879432,0.43530864197530866,0.5395061728395062,0.43530864197530866,0.43639750861973087,0.7228013892540406,0.6532719184478963
29,0.9883811168641929,0.981147476967345,0.5815602836879432,0.46382716049382716,0.5723644209081101,0.46382716049382716,0.4801249958849613,0.7264586515222474,0.6478520780587964
30,0.9737821350614708,0.9652322264427834,0.574468085106383,0.4161728395061728,0.48111111111111104,0.4161728395061728,0.41450655624568666,0.7250654087476015,0.6520691425226753
31,0.983441555715469,0.9637439952674487,0.5815602836879432,0.44049382716049384,0.5403069153069153,0.44049382716049384,0.4482384040754297,0.7264586515222474,0.6536274623630945
32,0.9911914259554392,0.9635431470600426,0.5886524822695035,0.42333333333333334,0.4927099044746103,0.42333333333333334,0.41916934710230797,0.7315091565651001,0.6508102648751316
33,0.9731530216803034,0.9654567956078982,0.5886524822695035,0.4432098765432099,0.5469366562824507,0.4432098765432099,0.44841269841269843,0.7290709817196289,0.6522960934900701
