Epoch,Train_Loss,Val_Loss,Accuracy,Balanced_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Macro_Specificity,AUC_OVR
1,0.5992283747497812,0.5934843670391867,0.16312056737588654,0.3796296296296296,0.13227513227513227,0.3796296296296296,0.1493993993993994,0.657667289547614,0.5986391342214206
2,0.5908785500081188,0.5831323126529125,0.0851063829787234,0.3333333333333333,0.028368794326241134,0.3333333333333333,0.05228758169934641,0.6666666657784744,0.6239791691604931
3,0.5821596703615534,0.5921632305104682,0.0851063829787234,0.3333333333333333,0.028368794326241134,0.3333333333333333,0.05228758169934641,0.6666666657784744,0.6292037455549885
4,0.5586978238390152,0.6256395671384555,0.0851063829787234,0.3333333333333333,0.028368794326241134,0.3333333333333333,0.05228758169934641,0.6666666657784744,0.581569726190594
5,0.5836100905056459,0.568281870361761,0.0851063829787234,0.3333333333333333,0.028368794326241134,0.3333333333333333,0.05228758169934641,0.6666666657784744,0.6216903718944172
6,0.5716967272112169,0.6393770799569204,0.3829787234042553,0.37654320987654316,0.2607843137254902,0.37654320987654316,0.2608875128998968,0.6704089807850827,0.6227108172220888
7,0.559093128485852,0.5608791839991901,0.09219858156028368,0.3377777777777778,0.3619047619047619,0.3377777777777778,0.06140350877192982,0.6692506451046367,0.5962349864140829
8,0.5630150814372373,0.5726642414187708,0.09219858156028368,0.3377777777777778,0.3619047619047619,0.3377777777777778,0.06140350877192982,0.6692506451046367,0.5992367345677512
9,0.5521468907953745,0.5553597710656781,0.3191489361702128,0.43333333333333335,0.25480907263853,0.43333333333333335,0.24890576385592997,0.7038265566307561,0.6205626462732406
10,0.5328379770718426,0.5447166109761448,0.2695035460992908,0.44802469135802464,0.4526176552492342,0.44802469135802464,0.2745853053948086,0.7052724509826093,0.6028276468087571
11,0.5450605951159834,0.5637881493737512,0.09219858156028368,0.3377777777777778,0.3619047619047619,0.3377777777777778,0.06140350877192982,0.6692506451046367,0.5907966084558796
12,0.5332843593086105,0.5396171681424404,0.375886524822695,0.4222222222222222,0.23969646338067388,0.4222222222222222,0.26978660779985286,0.6936526443458136,0.6065975955461832
13,0.5387317994272852,0.5248699610960399,0.2907801418439716,0.4241975308641976,0.46601654846335694,0.4241975308641976,0.2687033062469523,0.7057949170383401,0.6014470794253383
14,0.5306298678897949,0.5577955262880798,0.41134751773049644,0.3830864197530864,0.3199558879938627,0.3830864197530864,0.3157544210175789,0.6878609665673023,0.6017433115196636
15,0.5096434505589037,0.5372760173276807,0.1773049645390071,0.3997530864197531,0.5130398057227326,0.3997530864197531,0.17591957187839766,0.690363943280603,0.594971845635661
16,0.5463388883564846,0.5719171365102133,0.3049645390070922,0.378641975308642,0.35833333333333334,0.378641975308642,0.29212055192447345,0.6772253400114451,0.6139035548391335
17,0.5261050060570959,0.5318776728413629,0.16312056737588654,0.38567901234567903,0.484991452991453,0.38567901234567903,0.14996779163125687,0.6839768972055428,0.5974882748900391
18,0.5410427268011024,0.5283591899466007,0.1702127659574468,0.38666666666666666,0.25500910746812383,0.38666666666666666,0.1457229979136575,0.6816278250983241,0.5923129600078723
19,0.5266746846308191,0.5279445770784472,0.22695035460992907,0.4274074074074074,0.37261239226648035,0.4274074074074074,0.21116578579673165,0.6874438036650412,0.5949994434829149
20,0.5118355307593403,0.5468279875762073,0.3617021276595745,0.45999999999999996,0.2541160593792173,0.45999999999999996,0.270995670995671,0.7082452422982323,0.5947147617431855
21,0.5127205794834229,0.5415639547591514,0.19148936170212766,0.40691358024691354,0.3986170313536043,0.40691358024691354,0.18503031323983055,0.6843900099009916,0.5770405081436
22,0.5224611918969326,0.5467037410600811,0.36879432624113473,0.4644444444444445,0.2571662571662572,0.4644444444444445,0.27610094012864916,0.7095817833304396,0.5826206194530172
